Equipment ID,PD Average,PD Count,Temperature,Humidity,Loading
5578,176.22,4,30.9,61.4,1
5577,114.46,8,30.9,61.4,9
5576,162.88,6,30.9,61.4,9
5585,104.85,9,30.9,61.4,14.35
5584,93.2,10,30.9,61.4,14.35
5586,195.36,7,30.9,61.4,14.25
5587,117.36,15,30.9,61.4,14.25
5588,244.36,4,30.9,61.4,16.21
5589,96.28,9,30.9,61.4,16.21
5590,330.75,1,30.9,61.4,11
5591,181.98,2,30.9,61.4,11
5609,118.83,7,33.5,37.6,780
8536,112.67,13,33.5,37.6,780
5608,102.77,13,33.5,37.6,639
8535,97.29,18,33.5,37.6,639
5607,98.4,12,33.5,37.6,457
8534,153.2,17,33.5,37.6,457
5606,108.62,13,33.5,37.6,481
8533,96.07,16,33.5,37.6,481
5605,106.95,11,33.5,37.6,720
8531,86.05,10,33.5,37.6,720
5604,92.86,18,33.5,37.6,616
8530,97.18,11,33.5,37.6,616
5603,89.85,13,33.5,37.6,392
8529,93.35,14,33.5,37.6,392
5599,95.58,11,33.5,37.6,1200
8537,101.15,12,33.5,37.6,1200
5600,98.22,10,33.5,37.6,77
8538,146.3,18,33.5,37.6,77
5602,100.92,17,33.5,37.6,919
8528,95.59,24,33.5,37.6,919
5601,88.13,10,33.5,37.6,94
8539,90.84,12,33.5,37.6,94
5592,246.47,5,30.9,61.4,40
5593,126.91,15,30.9,61.4,40
5596,255.66,2,30.9,61.4,69
5597,122.41,16,30.9,61.4,69
5598,100.95,13,33.5,37.6,540
8527,104.81,11,33.5,37.6,540
8540,163.78,2,32.2,61.1,1403
8541,221.36,1,32.2,61.1,1403
8542,241.97,7,34.6,54.1,1200
8543,215.38,7,34.6,54.1,1200
8544,277.28,13,28.9,73,10
8545,263.6,6,28.9,73,10
8547,366.72,1,28.9,73,5
8548,334.73,12,28.9,73,5
8546,323.74,12,28.9,73,5
8552,319.98,7,28.9,73,5
8553,246.04,12,28.9,73,5
8551,363.79,6,28.9,73,5
8554,400.82,5,28.9,73,10
4068,106.8,12,25.2,55.7,100
4067,105.98,15,25.2,55.7,50
8575,88.82,17,25.2,55.7,100
8574,107.22,12,25.2,55.7,50
8579,120.72,15,25.2,55.7,100
4065,102.09,8,25.2,55.7,100
4056,105.95,9,24.3,55.1,5
8572,105.71,3,25.2,55.7,700
4061,111.19,7,25.2,55.7,700
8576,86.85,13,25.2,55.7,550
4062,103.62,12,25.2,55.7,550
8577,109.2,6,25.2,55.7,600
4063,109.2,6,25.2,55.7,600
4042,89.08,5,24.3,55.1,5
8560,91.52,8,24.3,55.1,5
4041,85.37,19,24.3,55.1,5
4040,85.91,17,24.3,55.1,5
4039,85,18,24.3,55.1,5
4038,89.08,6,24.3,55.1,5
8619,60.01,7,24.3,55.1,6
8618,85,4,24.3,55.1,6
4037,100.5,13,24.3,55.1,5
4036,88.26,11,24.3,55.1,5
4035,129.72,8,24.3,55.1,5
8601,197.2,11,27.4,63.9,50
4002,201.29,4,27.4,63.9,50
8621,87.93,7,24.3,55.1,7
8622,88.49,1,24.3,55.1,7
4000,171.56,4,27.4,63.9,0
8608,153.47,13,27.4,63.9,0
3998,119.2,16,27.4,63.9,50
3997,193.3,4,27.4,63.9,50
8606,115.55,14,27.4,63.9,50
4045,84.96,12,24.3,55.1,20
4044,86.06,12,24.3,55.1,5
4046,86.69,11,24.3,55.1,20
8564,94.19,19,24.3,55.1,20
4048,90.05,13,24.3,55.1,10
8565,91.97,19,24.3,55.1,10
4047,119.32,14,24.3,55.1,10
4051,99.47,16,24.3,55.1,5
4052,83.33,21,24.3,55.1,5
8567,98.12,24,24.3,55.1,5
4054,85.35,2,24.3,55.1,10
8568,93.74,15,24.3,55.1,10
4053,136.11,7,24.3,55.1,10
4055,111.7,2,24.3,55.1,5
4020,112.67,4,25.7,80.6,2
4019,100.79,8,25.7,80.6,2
4018,77.3,1,25.7,80.6,5
4017,115.22,16,25.7,80.6,5
4016,89.11,15,25.7,80.6,0
4015,241.64,4,25.7,80.6,0
